,Monitor,Fecha,Grupo
0,CPU RIC_AP,18/04/22 09:46 AM,RIC: Sistema: RIC_AP
1,CPU RIC_AP,18/04/22 01:06 PM,RIC: Sistema: RIC_AP
2,CPU RIC_AP,19/04/22 12:26 PM,RIC: Sistema: RIC_AP
3,CPU RIC_AP,21/04/22 09:26 AM,RIC: Sistema: RIC_AP
4,CPU occscsp01,18/04/22 10:30 AM,ENDPOINT PROTECTION: Sistema: occscsp01
5,CPU occscsp01,18/04/22 11:10 AM,ENDPOINT PROTECTION: Sistema: occscsp01
6,CPU occscsp01,21/04/22 06:10 PM,ENDPOINT PROTECTION: Sistema: occscsp01
7,CPU s5vpapattbd01,17/04/22 01:13 AM,CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01
8,CPU s5vpapattbd01,20/04/22 06:33 AM,CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01
9,CPU s5vpapattbd01,20/04/22 09:03 AM,CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01
10,CPU s5vpapattbd01,20/04/22 12:33 PM,CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01
11,CPU s5vpapattbd01,20/04/22 09:33 PM,CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01
12,CPU s5vpapattbd01,21/04/22 10:33 AM,CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01
13,CPU s5vpapsqtbd01,19/04/22 12:52 PM,CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapsqtbd01
14,CPU sied-db,18/04/22 10:50 AM,SIED -PRD: Sistema: sied-db
15,CPU sied-db,18/04/22 11:30 AM,SIED -PRD: Sistema: sied-db
16,CPU sied-db,18/04/22 01:30 PM,SIED -PRD: Sistema: sied-db
17,CPU sied-db,19/04/22 11:00 AM,SIED -PRD: Sistema: sied-db
18,CPU sied-db,19/04/22 01:40 PM,SIED -PRD: Sistema: sied-db
19,Disponibilidad: s0vpapgfcmo01:AdminServer:7001,21/04/22 07:25 PM,CANAL MOVIL: AppServer_WLs: s0vpapgfcmo01:AdminServer:7001
20,Disponibilidad: s0vpapgfcmo01:AdminServer:7001,21/04/22 07:30 PM,CANAL MOVIL: AppServer_WLs: s0vpapgfcmo01:AdminServer:7001
21,Disponibilidad: s0vpapgfcmo01:AdminServer:7001,21/04/22 07:33 PM,CANAL MOVIL: AppServer_WLs: s0vpapgfcmo01:AdminServer:7001
22,Disponibilidad: s0vpapgfcmo01:AdminServer:7001,21/04/22 07:39 PM,CANAL MOVIL: AppServer_WLs: s0vpapgfcmo01:AdminServer:7001
23,Disponibilidad: s0vpapgfcmo01:AdminServer:7001,21/04/22 07:45 PM,CANAL MOVIL: AppServer_WLs: s0vpapgfcmo01:AdminServer:7001
24,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 03:35 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
25,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 03:40 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
26,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 03:43 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
27,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 03:49 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
28,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 03:55 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
29,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 04:01 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
30,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 04:07 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
31,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 04:13 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
32,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 04:19 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
33,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 04:25 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
34,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 04:31 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
35,Disponibilidad: s5vpapwlcmw01:AdminServer:7001,21/04/22 04:37 PM,CITA MEDICA WEB -PRD: AppServer: s5vpapwlcmw01:AdminServer:7001
36,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 10:10 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
37,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 10:20 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
38,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 10:30 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
39,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 10:50 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
40,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 11:05 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
41,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 11:20 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
42,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 11:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
43,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 12:05 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
44,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 12:15 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
45,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 02:05 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
46,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,15/04/22 02:45 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
47,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 02:50 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
48,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 03:20 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
49,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 06:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
50,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 07:15 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
51,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 07:25 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
52,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 07:35 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
53,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 07:45 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
54,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 09:50 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
55,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 10:00 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
56,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 10:15 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
57,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 10:25 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
58,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 10:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
59,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 11:05 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
60,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 11:15 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
61,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 11:25 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
62,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 11:35 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
63,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 01:00 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
64,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 01:10 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
65,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 01:20 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
66,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 01:30 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
67,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 01:50 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
68,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 02:00 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
69,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 02:15 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
70,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 02:30 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
71,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 02:45 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
72,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 02:55 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
73,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 03:20 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
74,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 10:10 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
75,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 10:30 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
76,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,16/04/22 10:45 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
77,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 01:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
78,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 02:25 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
79,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 02:40 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
80,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 02:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
81,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 08:30 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
82,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 08:40 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
83,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 08:50 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
84,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 09:00 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
85,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 09:15 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
86,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 09:25 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
87,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 09:35 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
88,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 09:45 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
