,Monitor,Fecha,Grupo
89,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 09:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
90,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 10:05 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
91,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 10:10 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
92,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 10:20 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
93,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 10:29 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
94,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 10:40 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
95,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 12:25 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
96,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 01:20 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
97,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 01:30 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
98,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 01:40 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
99,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 01:55 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
100,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 02:05 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
101,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 02:15 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
102,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 02:30 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
103,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 05:55 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
104,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 06:05 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
105,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 08:15 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
106,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 08:25 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
107,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,17/04/22 08:45 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
108,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 05:30 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
109,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 05:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
110,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 09:15 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
111,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 09:25 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
112,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 09:35 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
113,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 09:45 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
114,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 09:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
115,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 12:35 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
116,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 01:40 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
117,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 05:30 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
118,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 10:55 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
119,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 11:05 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
120,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 11:20 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
121,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 11:30 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
122,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 11:40 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
123,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,18/04/22 11:50 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
124,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 12:40 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
125,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 12:50 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
126,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 01:00 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
127,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 03:15 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
128,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 04:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
129,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 07:00 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
130,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 08:00 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
131,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 08:10 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
132,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 08:35 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
133,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 08:45 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
134,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 08:55 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
135,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 09:05 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
136,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 11:45 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
137,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 06:40 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
138,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 06:55 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
139,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 07:50 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
140,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,19/04/22 08:20 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
141,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 12:20 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
142,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 04:25 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
143,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 06:30 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
144,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 10:35 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
145,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 11:30 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
146,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 11:40 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
147,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 01:40 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
148,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 02:45 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
149,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 02:55 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
150,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 03:05 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
151,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 03:35 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
152,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 03:44 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
153,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 10:15 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
154,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 10:35 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
155,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,20/04/22 11:10 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
156,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 09:00 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
157,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 09:10 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
158,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 10:25 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
159,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 10:40 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
160,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 10:50 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
161,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 11:00 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
162,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 11:15 AM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
163,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 04:35 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
164,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 04:45 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
165,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 04:55 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
166,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 06:35 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
167,Disponibilidad: s5vpapwlspi02:betspi_server01:8001,21/04/22 10:00 PM,DPES -PRD: AppServer: s5vpapwlspi02:betspi_server01:8001
168,Disponibilidad: s5vpapwlspi03:beintra_server02:8021,16/04/22 01:27 PM,DPES -PRD: AppServer: s5vpapwlspi03:beintra_server02:8021
169,Disponibilidad: s5vpapwlspi04:beintra_server03:8023,17/04/22 05:25 AM,DPES -PRD: AppServer: s5vpapwlspi04:beintra_server03:8023
170,Disponibilidad: s5vpapwltsp01:tspi_server04:8007,16/04/22 02:24 AM,DPES -PRD: AppServer: s5vpapwltsp01:tspi_server04:8007
171,Disponibilidad: s5vpapwltsp01:tspi_server04:8007,19/04/22 11:14 AM,DPES -PRD: AppServer: s5vpapwltsp01:tspi_server04:8007
172,Disponibilidad: s5vpapwltsp01:tspi_server07:8013,18/04/22 11:53 AM,DPES -PRD: AppServer: s5vpapwltsp01:tspi_server07:8013
173,FileSystem SVRIDEES,15/04/22 01:13 PM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
174,FileSystem SVRIDEES,16/04/22 02:13 AM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
175,FileSystem SVRIDEES,16/04/22 03:23 PM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
176,FileSystem SVRIDEES,17/04/22 05:03 AM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
177,FileSystem SVRIDEES,17/04/22 06:03 PM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
178,FileSystem SVRIDEES,18/04/22 07:43 AM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
179,FileSystem SVRIDEES,18/04/22 08:43 PM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
180,FileSystem SVRIDEES,19/04/22 10:33 AM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
181,FileSystem SVRIDEES,19/04/22 11:33 PM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
182,FileSystem SVRIDEES,20/04/22 01:23 PM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
183,FileSystem SVRIDEES,21/04/22 02:23 AM,IDENTIFICADOR DE EXPEDIENTE ELECTRONICO: Sistema: SVRIDEES
